,t1,t2,score
32693176,national presto industries,national ocean industries,0.19230769230769232
14337892,ceres environmental services,permafix environmental services,0.1935483870967742
15042404,kemron environmental services,permafix environmental services,0.1935483870967742
3627108,noreas environmental services,permafix environmental services,0.1935483870967742
34522560,wc holding,bg holding,0.2
33153136,ryan consulting,rust consulting,0.2
18164199,aerometric,autometric,0.2
6591791,core technologies,cordant technologies,0.2
27600559,guident technologies,cordant technologies,0.2
31814448,ricoh,rich,0.2
26005939,trace,trane,0.2
1700068,american technology solutions,cognizant technology solutions,0.2
35435285,patricio enterprises,pacific enterprises,0.2
1923208,verendrye electric cooperative,berkeley electric cooperative,0.2
20095758,national industries blind,national industrial sand,0.2
1318735,nova,enova,0.2
17744410,national air cargo,national air carrier,0.2
28625846,drace construction,granite construction,0.2
577462,rand construction,granite construction,0.2
29313846,lane construction,granite construction,0.2
3916847,prudent technologies,cordant technologies,0.2
873839,hci management,erie management,0.2
10066218,a3 technology,game technology,0.2
27623558,bellese technologies,bally technologies,0.2
20879601,aqr capital management,annaly capital management,0.2
13014000,kt consulting,rust consulting,0.2
26826038,drive construction,granite construction,0.2
15099345,ndi engineering,st engineering,0.2
407191,vistra communications,windstream communications,0.2
20171702,onsite construction,granite construction,0.2
3917132,prudent technologies,primex technologies,0.2
25262762,savi technology,game technology,0.2
17058769,hgs engineering,st engineering,0.2
22799441,ais engineering,st engineering,0.2
4468007,delmock technologies,dell technologies,0.2
35485876,jvn communications,nuvox communications,0.2
19372364,trident technologies,primex technologies,0.2
29220278,ranco construction,granite construction,0.2
9408004,sparc,spac,0.2
15806191,odle management,erie management,0.2
13041520,lux consulting,rust consulting,0.2
19372079,trident technologies,cordant technologies,0.2
5223579,tecmasters,teamsters,0.2
9535472,roi consulting,rust consulting,0.2
7139367,fn america,xl america,0.2
7036656,dcs consulting,rust consulting,0.2
12735646,golden manufacturing,behlen manufacturing,0.2
27623335,bellese technologies,dell technologies,0.2
36879223,reema consulting services,ltk consulting services,0.2
4734950,gbx consultants,ms consultants,0.2
13646289,rmf engineering,st engineering,0.2
32682294,pate construction,granite construction,0.2
11244211,crane,trane,0.2
7935471,cmi management,erie management,0.2
10080358,tw metals,rti metals,0.2
30501358,calibre systems,caliber system,0.2
7545386,m2 technology,game technology,0.2
940726,grunley construction,granite construction,0.2
22181720,fortis networks,nortel networks,0.2
34521440,wc holding,h holding,0.2
26579984,global science technology,alion science technology,0.2
24237493,jel management,ares management,0.2
20445237,nms management,ares management,0.2
27051562,tope technology,game technology,0.2
16035746,becton dickinson and,becton dickinson,0.2
37555811,action manufacturing,alice manufacturing,0.2
142646,tanik construction,granite construction,0.2
28381138,allen america,allianz america,0.2
6984719,pentaq manufacturing,perry manufacturing,0.2
28599301,cusa consulting,gsp consulting,0.2
14573398,mapco,masco,0.2
19985624,rtl networks,nortel networks,0.2
9091367,ascella technologies,dell technologies,0.2
25959314,advon,advo,0.2
31508399,kord technologies,cordant technologies,0.2
4329823,intec,intel,0.2
16636591,corvid technologies,cordant technologies,0.2
22948488,nueces electric cooperative,berkeley electric cooperative,0.20689655172413793
32127290,university south florida,university south alabama,0.20833333333333334
29063260,je hurley construction,rieth riley construction,0.20833333333333334
15649505,manufacturing techniques,manufacturing technology,0.20833333333333334
30385398,sicore technologies,icx technologies,0.21052631578947367
14220488,alaire technologies,maxar technologies,0.21052631578947367
21106925,herman construction,hm construction,0.21052631578947367
4188800,akhi construction,zachry construction,0.21052631578947367
2234666,dawson enterprises,sammons enterprises,0.21052631578947367
16669768,mosaic technologies,maxar technologies,0.21052631578947367
23412168,marton technologies,maxar technologies,0.21052631578947367
28843587,bairco construction,irby construction,0.21052631578947367
9057868,crane technologies,primex technologies,0.21052631578947367
26200469,grancor enterprises,ipalco enterprises,0.21052631578947367
10306806,agilex technologies,icx technologies,0.21052631578947367
18739404,mei technologies,primex technologies,0.21052631578947367
10308119,agilex technologies,radix technologies,0.21052631578947367
14406595,reilly construction,irby construction,0.21052631578947367
12408643,bilbro construction,irby construction,0.21052631578947367
12991459,snc manufacturing,alice manufacturing,0.21052631578947367
23147976,akamai technologies,maxar technologies,0.21052631578947367
7417676,exide technologies,primex technologies,0.21052631578947367
4660040,graham technologies,maxar technologies,0.21052631578947367
26076236,creek technologies,primex technologies,0.21052631578947367
14674883,american mechanical,american medical,0.21052631578947367
7736776,4 star technologies,maxar technologies,0.21052631578947367
4661015,graham technologies,radix technologies,0.21052631578947367
823884,tracen technologies,primex technologies,0.21052631578947367
6049625,alliance technology,alien technology,0.21052631578947367
26670668,planet technologies,primex technologies,0.21052631578947367
23573888,city construction,zachry construction,0.21052631578947367
1908647,ardent technologies,dell technologies,0.21052631578947367
3862626,rand enterprises,midland enterprises,0.21052631578947367
22476488,lumark technologies,maxar technologies,0.21052631578947367
18576256,cwr construction,zachry construction,0.21052631578947367
13125858,grand enterprises,midland enterprises,0.21052631578947367
198400,gch construction,zachry construction,0.21052631578947367
28213760,wara construction,zachry construction,0.21052631578947367
37702656,acc construction,zachry construction,0.21052631578947367
824727,tracen technologies,radix technologies,0.21052631578947367
11165768,ausgar technologies,maxar technologies,0.21052631578947367
26265466,zeiders enterprises,werner enterprises,0.21052631578947367
17789585,pacific science engineering,american science engineering,0.21428571428571427
21433744,allegheny science technology,alion science technology,0.21428571428571427
14318923,air industries,itt industries,0.21428571428571427
281428,ican resources,cnx resources,0.21428571428571427
13306187,tac industries,itt industries,0.21428571428571427
34213381,aon consulting,gsp consulting,0.21428571428571427
21094347,k k industries,itt industries,0.21428571428571427
1062335,iomax information services,stewart information services,0.21428571428571427
36767237,fi consulting,gsp consulting,0.21428571428571427
25214341,fti consulting,gsp consulting,0.21428571428571427
11426821,mrf consulting,gsp consulting,0.21428571428571427
32446597,pm consulting,gsp consulting,0.21428571428571427
23194373,db consulting,gsp consulting,0.21428571428571427
35974664,henkel ag kgaa,henkel kgaa,0.21428571428571427
13039493,lux consulting,gsp consulting,0.21428571428571427
34934405,bm consulting,gsp consulting,0.21428571428571427
10946787,eod technology,dxc technology,0.21428571428571427
18339845,md consulting,gsp consulting,0.21428571428571427
3466463,sienna systems,siebel systems,0.21428571428571427
7034629,dcs consulting,gsp consulting,0.21428571428571427
26273611,lc industries,itt industries,0.21428571428571427
20870737,vet industrial,cnh industrial,0.21428571428571427
10066147,a3 technology,dxc technology,0.21428571428571427
32490629,m2 consulting,gsp consulting,0.21428571428571427
10909445,jcm consulting,gsp consulting,0.21428571428571427
22211659,l c industries,itt industries,0.21428571428571427
28284387,gem technology,dxc technology,0.21428571428571427
21697285,edc consulting,gsp consulting,0.21428571428571427
19561733,tfc consulting,gsp consulting,0.21428571428571427
13155077,pbg consulting,gsp consulting,0.21428571428571427
8814923,j p industries,itt industries,0.21428571428571427
18061643,rix industries,itt industries,0.21428571428571427
3296458,fms investment,lpl investment,0.21428571428571427
9533445,roi consulting,gsp consulting,0.21428571428571427
13011973,kt consulting,gsp consulting,0.21428571428571427
19385605,umt consulting,gsp consulting,0.21428571428571427
4501215,signal systems,siebel systems,0.21428571428571427
7545315,m2 technology,dxc technology,0.21428571428571427
34920395,ami industries,itt industries,0.21428571428571427
22776069,arm consulting,gsp consulting,0.21428571428571427
21119365,b d consulting,gsp consulting,0.21428571428571427
406526,vistra communications,skyterra communications,0.21739130434782608
6349615,convergint technologies,cordant technologies,0.21739130434782608
